State Code,District Code,Sub District Code,Level,Area Name,Total number of inhabited villages,Total Rural population,,,Less than 200,,,,200-499,,,,500-999,,,,1000-1999,,,,2000-4999,,,,5000-9999,,,,10000 and above,,,
,,,,,,,,,Number of Villages,Population,,,Number of Villages,Population,,,Number of Villages,Population,,,Number of Villages,Population,,,Number of Villages,Population,,,Number of Villages,Population,,,Number of Villages,Population,,
,,,,,,Persons ,Males,Females,,Persons,Males ,Females,,Persons,Males ,Females,,Persons,Males ,Females,,Persons,Males ,Females,,Persons,Males ,Females,,Persons,Males ,Females,,Persons,Males ,Females
01,015,00061,SUB-DISTRICT,Damhal Hanjipora,50,106817,54953,51864,0,0,0,0,8,3256,1664,1592,8,6133,3097,3036,17,23832,12351,11481,12,43214,22130,21084,5,30382,15711,14671,0,0,0,0
01,016,00000,DISTRICT,Doda,402,377247,195430,181817,61,7887,4026,3861,117,38647,19662,18985,102,74996,38304,36692,77,106923,55465,51458,39,105507,55650,49857,6,43287,22323,20964,0,0,0,0
01,016,00062,SUB-DISTRICT,Doda,126,181111,93703,87408,13,1675,889,786,25,7716,3974,3742,29,22150,11346,10804,29,40303,20797,19506,24,65980,34374,31606,6,43287,22323,20964,0,0,0,0
01,016,00063,SUB-DISTRICT,Thathri,92,59955,31627,28328,16,2270,1148,1122,33,10396,5294,5102,27,18793,9627,9166,10,11867,6015,5852,6,16629,9543,7086,0,0,0,0,0,0,0,0
01,016,00064,SUB-DISTRICT,Gandoh,66,71889,36754,35135,5,472,232,240,9,3222,1653,1569,22,17203,8803,8400,23,33310,17061,16249,7,17682,9005,8677,0,0,0,0,0,0,0,0
01,016,00065,SUB-DISTRICT,Bhaderwah,118,64292,33346,30946,27,3470,1757,1713,50,17313,8741,8572,24,16850,8528,8322,15,21443,11592,9851,2,5216,2728,2488,0,0,0,0,0,0,0,0
01,017,00000,DISTRICT,Ramban,127,271902,142317,129585,7,810,410,400,11,4425,2318,2107,16,13304,6892,6412,42,60052,31346,28706,40,112298,59532,52766,10,69487,35861,33626,1,11526,5958,5568
01,017,00066,SUB-DISTRICT,Banihal,33,121145,62539,58606,0,0,0,0,2,687,364,323,2,1952,928,1024,6,9456,4911,4545,14,43042,22297,20745,8,54482,28081,26401,1,11526,5958,5568
01,017,00067,SUB-DISTRICT,Ramban,94,150757,79778,70979,7,810,410,400,9,3738,1954,1784,14,11352,5964,5388,36,50596,26435,24161,26,69256,37235,32021,2,15005,7780,7225,0,0,0,0
01,018,00000,DISTRICT,Kishtwar,155,215831,111986,103845,2,234,119,115,44,15497,7942,7555,38,28549,15050,13499,41,56735,29548,27187,24,76911,39945,36966,6,37905,19382,18523,0,0,0,0
